Rank,URL,PageRank Score
1,https://www.bbc.com/,0.005297
2,https://www.bbc.co.uk/contact,0.004267
3,https://www.bbc.co.uk/aboutthebbc,0.004264
4,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links,0.003754
5,https://www.bbc.co.uk/accessibility/,0.003743
6,https://www.bbc.co.uk/usingthebbc/terms,0.003448
7,https://www.bbc.com/usingthebbc/privacy/,0.002848
8,https://www.bbc.com/usingthebbc/cookies/,0.002848
9,https://www.bbc.com/advertisingcontact,0.002787
10,https://www.bbc.co.uk/bbcnewsletter,0.002514
11,https://www.bbc.com/weather,0.002226
12,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/,0.002069
13,https://www.bbc.com/news,0.001928
14,https://www.bbc.com/sport,0.001928
15,https://www.bbc.com/culture,0.001928
16,https://www.bbc.com/travel,0.001928
17,https://www.bbc.com/newsletters,0.001706
18,https://shop.bbc.com/,0.001706
19,https://www.britbox.com/?utm_source=bbc.com&utm_medium=referral&utm_campaign=footer,0.001706
20,https://www.bbc.com/contact-bbc-com-help,0.001706
21,https://www.bbc.co.uk/accessibility,0.001704
22,https://www.bbc.co.uk/iplayer/guidance,0.001687
23,https://www.bbc.co.uk/sounds,0.001629
24,https://www.bbc.com/business,0.001407
25,https://www.bbc.com/innovation,0.001407
26,https://www.bbc.com/future-planet,0.001407
27,https://www.bbc.com/video,0.001407
28,https://www.bbc.co.uk,0.001295
29,https://www.bbc.co.uk/cbeebies,0.001293
30,https://www.bbc.co.uk/cbbc,0.001293
31,https://www.bbc.com/live,0.001291
32,https://www.bbc.co.uk/bitesize,0.00129
33,https://www.bbc.com/usingthebbc/privacy,0.001191
34,https://www.bbc.com/usingthebbc/cookies,0.001191
35,https://www.bbc.com/advertisingcontact/,0.001191
36,https://www.bbc.co.uk/sport,0.00119
37,https://www.bbc.co.uk/guidance,0.001136
38,https://www.bbc.co.uk/news,0.001126
39,https://www.bbc.co.uk/usingthebbc/terms/,0.001124
40,https://www.bbc.co.uk/weather,0.001122
41,https://www.bbc.co.uk/iplayer,0.001122
42,https://www.bbc.co.uk/usingthebbc/cookies/,0.001113
43,https://www.bbc.co.uk/usingthebbc/privacy/,0.00111
44,https://www.bbc.co.uk/contact/complaints/,0.001107
45,https://www.bbc.co.uk/notifications,0.001106
46,https://www.bbc.co.uk/food,0.001106
47,https://account.bbc.com/account,0.001098
48,https://www.bbc.com,0.001006
49,https://www.bbc.com/reel,0.000821
50,https://www.bbc.com/worklife,0.000821
51,https://www.bbc.com/future,0.000821
52,https://www.bbc.co.uk/schedules/p00fzl9m,0.000821
53,https://www.bbc.com/future/earth,0.000815
54,https://www.bbc.com/culture/music,0.000806
55,https://watch.britbox.com/us/gifting,0.000708
